排名,电影名称,上映时间,工作人员,评分,评论人数,描述
82,春光乍泄,1997 / 中国香港 日本 韩国 / 剧情 爱情 同性,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,8.9,395402,爱情纠缠，男女一致。
83,心灵捕手,1997 / 美国 / 剧情,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,8.9,433081,人生中应该拥有这样的一段豁然开朗。
84,禁闭岛,2010 / 美国 / 剧情 悬疑 惊悚,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,8.8,578943,昔日翩翩少年，今日大腹便便。
85,勇敢的心,1995 / 美国 / 动作 传记 剧情 历史 战争,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...,8.9,408089,史诗大片的典范。
86,布达佩斯大饭店,2014 / 美国 德国 英国 / 剧情 喜剧 冒险,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,8.8,542431,小清新的故事里注入了大历史的情怀。
87,剪刀手爱德华,1990 / 美国 / 剧情 奇幻 爱情,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...,8.7,716809,浪漫忧郁的成人童话。
88,天使爱美丽,2001 / 法国 德国 / 喜剧 爱情,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...,8.7,693869,法式小清新。 
89,阿凡达,2009 / 美国 英国 / 动作 科幻 冒险,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,8.7,843831,绝对意义上的美轮美奂。
90,摩登时代,1936 / 美国 / 剧情 喜剧 爱情,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...,9.3,165944,大时代中的人生，小人物的悲喜。
91,加勒比海盗,2003 / 美国 / 动作 冒险 奇幻,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,8.7,557559,约翰尼·德普的独角戏。
92,致命ID,2003 / 美国 / 剧情 悬疑 惊悚,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet,8.8,486250,最不可能的那个人永远是最可能的。
93,幽灵公主,1997 / 日本 / 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...,8.9,353888,人与自然的战争史诗。
94,断背山,2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.8,479040,每个人心中都有一座断背山。
95,入殓师,2008 / 日本 / 剧情,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,8.8,418466,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
96,喜剧之王,1999 / 中国香港 / 喜剧 剧情 爱情,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,8.7,562299,我是一个演员。
97,阳光灿烂的日子,1994 / 中国大陆 中国香港 / 剧情 爱情,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,8.8,403550,一场华丽的意淫。
98,重庆森林,1994 / 中国香港 / 剧情 爱情,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,8.7,503084,寂寞没有期限。
99,狩猎,2012 / 丹麦 瑞典 / 剧情,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...,9.1,211520,人言可畏。
100,第六感,1999 / 美国 / 剧情 悬疑 惊悚,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,8.8,346652,深入内心的恐怖，出人意料的结局。
101,海蒂和爷爷,2015 / 德国 瑞士 南非 / 剧情 冒险 家庭,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,9.2,175872,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
102,杀人回忆,2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.8,376480,关于连环杀人悬案的集体回忆。
103,玛丽和马克思,2009 / 澳大利亚 / 剧情 喜剧 动画,导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...,8.9,302959,你是我最好的朋友，你是我唯一的朋友 。
104,消失的爱人,2014 / 美国 / 剧情 犯罪 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,563813,年度最佳date movie。
105,小森林 夏秋篇,2014 / 日本 / 剧情,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,9.0,247940,那些静得只能听见呼吸的日子里，你明白孤独即生活。
106,请以你的名字呼唤我,2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...,8.8,362720,沉醉在电影的情感和视听氛围中无法自拔。
107,告白,2010 / 日本 / 剧情 惊悚,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,8.7,494495,没有一人完全善，也没有一人完全恶。
108,一一,2000 / 中国台湾 日本 / 剧情 爱情 家庭,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,9.0,222942,我们都曾经是一一。
109,大鱼,2003 / 美国 / 剧情 家庭 奇幻 冒险,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...,8.8,371205,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
110,爱在黎明破晓前,1995 / 美国 奥地利 瑞士 / 剧情 爱情,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,8.8,352434,缘分是个连绵词，最美不过一瞬。
111,红辣椒,2006 / 日本 / 动画 悬疑 科幻 惊悚,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...,9.0,232274,梦的勾结。
112,阳光姐妹淘,2011 / 韩国 / 剧情 喜剧,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,8.8,403423,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
113,侧耳倾听,1995 / 日本 / 剧情 爱情 动画,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...,8.9,277529,少女情怀总是诗。
114,射雕英雄传之东成西就,1993 / 中国香港 / 喜剧 奇幻 武侠 古装,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,8.7,409430,百看不厌。 
115,7号房的礼物,2013 / 韩国 / 剧情 喜剧 家庭,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.8,306620,《我是山姆》的《美丽人生》。
116,甜蜜蜜,1996 / 中国香港 / 剧情 爱情,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,8.8,326215,相逢只要一瞬间，等待却像是一辈子。
117,超脱,2011 / 美国 / 剧情,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...,8.9,281034,穷尽一生，我们要学会的，不过是彼此拥抱。
118,倩女幽魂,1987 / 中国香港 / 爱情 奇幻 武侠 古装,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,8.7,433300,两张绝世的脸。 
119,哈利·波特与死亡圣器(下),2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.8,442070,10年的完美句点。
